Customer_name,Customer_url,Customer_review,sentiment
Spud,https://www.productreview.com.au/consumer-profiles/98faf777-1e99-3bbd-8c64-e64972f82297,Ensure that they only deliver to the front in warmer or your getting cold food.I suggest giving them a miss. Zero or little customer service from the back of house.,Negative
Ariel,https://www.productreview.com.au/consumer-profiles/44b06fc9-24da-432c-9d96-ca311ba725ea,Didn’t receive my order. Agent reorders my food. Didn’t receive my order AGAIN. Talk to another agent again. Receive credit. I wasted 2 hours to get my money back in the form of credit?!,Negative
Tori,https://www.productreview.com.au/consumer-profiles/4f34d926-19aa-4ac9-8387-f088cc47927f,"Tried ordering online via the Deliveroo website and typed in my exact address. Called them up and they said you have to go to the app to pin the exact location. Be careful when ordering online because there is no option for pinning your location online. In the end, the order never came because I didn't pin the exact location.",Negative
Roc,https://www.productreview.com.au/consumer-profiles/33b1c5e1-3390-4c4f-85d1-2b776b1538e5,"Live chat complaint was basically ignored ordered paid Deliveroo & nothing was received, nothing was resolved on the night, the final response on the night was it had been delivered by the restaurant, not Diliveroo. Nothing was delivered & they refused to acknowledge any responsibility brushing it off as a restaurant problem & not their responsibility. I paid Deliveroo not the restaurant, the online complaint received the same responsibility refusal, it was the worst online purchase experience I could have ever imagine, the same night I had to reorder from Uber eats who always deliver. Always!
Deliveroo-disgraceful",Negative
Claud,https://www.productreview.com.au/consumer-profiles/8107e335-d3fe-4b09-890f-ac8a02aefdce,Deliveroo will be the middleman when it comes to taking your money but if the food doesn’t arrive they will then exclude themselves from being the middleman and not give a refund. It is a scam. Use Uber eats instead. The app is also terrible and does not allow you to contact the drivers so you’ll have no idea if or when the food arrives.,Negative
Shelley,https://www.productreview.com.au/consumer-profiles/5f1df35b-e865-30fd-8f7e-ac5c61d16487,"When we called the burger store they confirmed pickup but nothing delivered.
Very disappointing to be told no dinner at 9.40 pm when most kitchens closed
Won’t use this service again",Negative
Yagnik J.,https://www.productreview.com.au/consumer-profiles/6e9a22cd-011c-478c-a3b0-d02fc18b3c09,"Company only believe in to fill their plate, they only listen to restaurants never have supported Thier rider who are their backbone. Whenever you ask for long waiting they said you can cancel your order and lost your time with fuel cost that you travel to restaurants. They knew rider will not go any where as there is very less job available. If rider make few mistakes they will suspend the account and lost the job without listening of rider.",Negative
JAY,https://www.productreview.com.au/consumer-profiles/084e636e-4bec-33d9-a209-d3262dddc75b,"I placed an order with KFC and as we have 2 in our area, our order went to the closest one which didn’t have some of the items we ordered. So after the order was processed and my card was charged i received a message saying that my order could not be processed and i will not be charged but when I checked my bank account the money had been taken out. Tried to contact someone for help and was told the money wasn’t charged even when I supplied a photo showing the money was taken out. This is appalling service! If a restaurant doesn’t have all item...",Negative
DDn,https://www.productreview.com.au/consumer-profiles/5ac5c63b-0e1e-40f5-ac54-58df0fee5d93,The driver delivered wrong item even tho my order was one item only. No appology from the restaurant plus the driver. The service desk is a nightmare.delete the app pfff,Negative
Dan,https://www.productreview.com.au/consumer-profiles/89b70ca6-b34e-3f82-9103-085c27ddfaa4,Driver stole my food. Plain and simple. The food was marked as delivered on the app but I never arrived. Deliveroo don’t care. They offered to “credit my account” as if I would ever again use their company when they knowingly employ thieves. Unfortunately for them I’m not going to let this drop and will be pursuing this until I get an acceptable resolution.,Negative
