Customer_name,Customer_url,Customer_review,sentiment
Prbath W.,https://www.productreview.com.au/consumer-profiles/7807fc71-7651-4268-9ddb-e668f510a3c6,"Worst service i have ever experienced.....Waiting order more than 2 hours and no feedback,Order disappeared......Sad to say that ,it could be my last order from Menulog. That was spoil my all day. It showing that it was delivered but it doesn't. They agreed to refund the money but what is the use , waiting for food more than 2 hours and what will i di next?",Negative
C.T,https://www.productreview.com.au/consumer-profiles/f8c1f1e7-d53c-3ce6-aa78-c36466b2d696,"2 days in a row, waiting an hour to get my food order canceled and they expect me to be the one contacting customer service to get my money back.",Negative
Ben,https://www.productreview.com.au/consumer-profiles/f28fd161-c6a8-47ca-8928-09007bef89b9,"Initially Menulog was great for deliveries. Over the past few months, it’s been terrible. Restaurants not accepting orders from Menulog, then giving an expected time and waiting for 2 hours until the restaurant is closed. Multiple phone calls for each order to check where the order is at when the order is not accepted. There should be a better system to blacklist those restaurants who are not accepting orders on purpose. I ordered Nandos from Menulog and after 15 minutes I called Menulog why they haven’t accepted. Was on the phone for 15 minute...",Negative
Mat,https://www.productreview.com.au/consumer-profiles/6baf3e66-7cf9-43cd-bd59-e29097403437,"I am absolutely disgusted at the nunber of incorrect restaurant addresses! And then when you try to speak to customer service, they show you the exact same map as you've been looking at, which doesn't help at all. Not only am I getting peeved off and having my time and efforts wasted, but the customer is also waiting for the food. Pay rate is probably the lowest out of all courier services BUT you do get continuous orders. For the amount of driving and fuel you use, I don't think it's worth it.",Neutral
Tai,https://www.productreview.com.au/consumer-profiles/d5c7088f-7201-4897-b0e1-78365484e1f8,Ordered my food in advance to arrive at 12:00pm. App said it will arrive by 12:06 by 12:20 I had to call and the lady from Menulog said that the delivery guy is not coming (?) and that someone deliver the food by 12:55pm. Had to cancel the order because I did not want to eat soggy 1-hour old nachos. Plus my lunch break was over... Absolutely horrible experience. Will never use again.,Negative
Lynne,https://www.productreview.com.au/consumer-profiles/57f09141-bf1c-4049-9a4d-ed9bf81e2481,"Food not delivered. Customer service told me they would call back in less than 10 mins with update. 30 mins later I rang again only to be told someone would get back to me in 24-48 hours.
Why bother with a customer service Number???
End result hungry and really jacked off!",Negative
Jay,https://www.productreview.com.au/consumer-profiles/178353c1-74bb-3ba5-88d8-2f7f004cd9e0,Most Menu log Driver refuse to read instructions. I always ask Don't knock and leave by the door what's the point of contact less delivery when they knock and wait out the door.,Negative
marchedley,https://www.productreview.com.au/consumer-profiles/cef67540-b2ff-43c9-98f5-bab2bf067c11,My order was cancelled and the refund was not forthcoming leaving me starving without food. Customer service agents unhelpful. Due to this I will never be using Menulog again. Useless.,Negative
Smorgs,https://www.productreview.com.au/consumer-profiles/173568fd-42d7-35ae-a63d-f1d5736a3c5c,Absolutely the worse service ever. Our meal never arrived and when we called went to the Philippines or India call centre was told we would get a voucher but never did. Will call restaurant directly from now on ! SCAM,Negative
Jules,https://www.productreview.com.au/consumer-profiles/b18f9b96-057c-4f15-ab3f-03f8f6462b88,"Ordered a hamburger from Hungry Jack to get a promotion for a glass through Menulog. Waiting for about 50 minutes, the driver came and handed me the opened paper bag without the glass, the food inside was very messy. I asked him why the bag was opened and where the glass was given, he said he didn't know and drove away quickly.",Negative
Farhad irani,https://www.productreview.com.au/consumer-profiles/90994981-65d9-473b-9105-61095f5dbbcc,Ordered from Nandos. Used Menulog. Over 100 $. Dinner for guests. No food over an hour. Called Menulog. You could not locate the courier nor could you contact the restaurant . You took my money and ruined my dinner party with friends. V v shabby.,Negative
ShTfood,https://www.productreview.com.au/consumer-profiles/dbaaffdb-b756-4135-946e-c407033fc54b,"Menulog were called in regards to allergies and on the order all the right boxes were ticked, and they still brought my burger not only with the sauce I couldn't have but it was absolutely dripping of sauce, burger cost $15.90 and they only want to refund $10.00, this is absolutely disgusting and Menulog are not recommended by me at all in regards to this",Negative
NekosMum,https://www.productreview.com.au/consumer-profiles/3dbd761a-7568-382c-9ae6-b25988d1abd1,"Won't be using them any more. Delays with assigning drivers, no communication to let us know what is happening. Called restaurant, food had been sat there for an hour waiting for a driver. Customer service representative lied telling us the restaurant cancelled the order as they were too busy. Disgusting customer service. DO NOT USE. Will use a different delivery service.",Negative
